user_id,channel,age,os,gender,country,customer
100000,00 Organic,20,ios,female,GB,0
100001,00 Organic,30,ios,female,US,1
100002,31 OUTBRAIN,35,ios,female,DE,0
100003,00 Organic,26,android,female,US,0
100004,32 Taboola,55,ios,female,US,1
100005,00 Organic,26,ios,female,GB,1
100006,22 Adwords (Search),36,android,male,GB,0
100007,22 Adwords (Search),30,android,female,MX,0
100008,42 Adcolony,31,android,female,US,0
100009,00 Organic,19,ios,female,GB,0
100010,12 PINTEREST,19,android,male,US,0
100011,00 Organic,23,ios,female,US,1
100012,42 Adcolony,19,ios,female,US,0
100013,00 Organic,22,android,female,ES,1
100014,42 Adcolony,24,ios,female,US,0
100015,11 FB,47,android,male,US,1
100016,41 Youtube,23,android,male,US,0
100017,12 PINTEREST,26,android,female,US,0
100018,00 Organic,14,ios,female,GB,1
100019,61 Web/Content,50,ios,male,US,0
100020,42 Adcolony,32,ios,female,US,0
100021,12 PINTEREST,36,ios,female,US,0
100022,95 LAT,47,ios,female,US,0
100023,69 Others,46,ios,female,ES,0
100024,41 Youtube,38,android,female,US,1
100025,00 Organic,40,ios,female,GB,0
100026,12 PINTEREST,46,android,male,US,1
100027,00 Organic,41,android,female,US,1
100028,11 FB,31,android,female,US,0
100029,00 Organic,19,ios,female,US,1
100030,32 Taboola,36,ios,female,US,0
100031,00 Organic,30,ios,female,GB,0
100032,32 Taboola,14,ios,male,US,0
100033,00 Organic,22,ios,male,US,1
100034,95 LAT,13,ios,female,GB,1
100035,00 Organic,17,ios,male,MX,0
100036,12 PINTEREST,25,android,female,US,0
100037,95 LAT,22,ios,male,GB,0
100038,31 OUTBRAIN,32,ios,male,US,0
100039,11 FB,38,android,male,US,0
100040,21 ASA,29,ios,female,AU,1
100041,22 Adwords (Search),20,android,female,US,1
100042,12 PINTEREST,27,ios,female,US,0
100043,32 Taboola,48,ios,male,MX,1
100044,32 Taboola,49,ios,female,US,1
100045,12 PINTEREST,21,ios,female,US,0
100046,42 Adcolony,32,android,female,AU,0
100047,00 Organic,25,android,female,CA,1
100048,32 Taboola,52,ios,female,FR,1
100049,21 ASA,42,ios,female,AU,1
100050,12 PINTEREST,34,ios,female,US,0
100051,12 PINTEREST,45,android,male,US,0
100052,21 ASA,32,ios,male,US,1
100053,11 FB,39,android,female,US,1
100054,00 Organic,17,ios,female,US,1
100055,31 OUTBRAIN,43,ios,female,FR,0
100056,12 PINTEREST,33,android,female,GB,0
100057,00 Organic,35,android,male,ES,0
100058,12 PINTEREST,16,ios,male,CA,0
100059,00 Organic,43,ios,female,US,1
100060,41 Youtube,18,ios,male,US,0
100061,42 Adcolony,39,android,female,US,1
100062,32 Taboola,46,ios,female,US,1
100063,95 LAT,26,ios,female,US,1
100064,95 LAT,59,ios,male,US,1
100065,00 Organic,43,ios,female,US,0
100066,11 FB,30,android,female,US,0
100067,11 FB,56,android,male,US,1
100068,11 FB,28,ios,male,MX,0
100069,00 Organic,27,ios,male,GB,0
100070,12 PINTEREST,35,ios,female,CA,0
100071,41 Youtube,17,ios,male,US,0
100072,42 Adcolony,25,ios,female,US,0
100073,22 Adwords (Search),26,android,male,US,0
100074,12 PINTEREST,18,android,female,US,0
100075,31 OUTBRAIN,53,ios,male,US,1
100076,41 Youtube,35,android,male,US,1
100077,00 Organic,19,ios,female,US,0
100078,41 Youtube,25,ios,male,ES,0
100079,00 Organic,18,android,male,US,0
100080,41 Youtube,43,ios,male,MX,0
100081,32 Taboola,27,ios,male,MX,0
100082,12 PINTEREST,35,ios,female,US,1
100083,32 Taboola,37,ios,female,US,0
100084,00 Organic,12,ios,female,US,0
100085,32 Taboola,22,ios,male,US,0
100086,00 Organic,22,ios,male,US,0
100087,31 OUTBRAIN,23,android,male,US,1
100088,00 Organic,28,ios,female,US,0
100089,11 FB,24,ios,male,US,0
100090,00 Organic,25,android,female,US,0
100091,42 Adcolony,47,ios,female,US,0
100092,31 OUTBRAIN,48,ios,female,GB,1
100093,12 PINTEREST,31,ios,female,GB,1
100094,00 Organic,36,ios,female,US,0
100095,12 PINTEREST,22,android,female,US,0
100096,12 PINTEREST,54,android,female,US,0
100097,00 Organic,24,android,male,US,1
100098,11 FB,25,android,male,ES,0
100099,00 Organic,17,ios,female,US,0
100100,00 Organic,60,ios,female,CA,0
100101,00 Organic,20,android,female,ES,0
100102,00 Organic,44,android,male,US,1
100103,12 PINTEREST,25,ios,female,CA,0
100104,00 Organic,21,ios,female,US,1
100105,00 Organic,23,android,male,US,0
100106,31 OUTBRAIN,20,ios,female,ES,0
100107,42 Adcolony,23,android,female,US,0
100108,42 Adcolony,29,android,female,US,1
100109,41 Youtube,23,ios,female,US,1
100110,12 PINTEREST,28,ios,female,US,1
100111,00 Organic,17,ios,female,GB,1
100112,31 OUTBRAIN,37,ios,female,US,1
100113,00 Organic,29,ios,female,DE,0
100114,31 OUTBRAIN,49,ios,female,US,1
100115,42 Adcolony,19,ios,female,US,0
100116,42 Adcolony,31,android,male,AU,1
100117,00 Organic,35,android,female,US,0
100118,21 ASA,25,ios,female,GB,0
100119,12 PINTEREST,33,ios,male,US,1
100120,00 Organic,34,android,male,GB,0
100121,12 PINTEREST,31,android,female,US,0
100122,00 Organic,29,android,female,US,1
100123,00 Organic,22,android,female,CA,0
100124,95 LAT,26,ios,female,US,0
100125,00 Organic,14,ios,female,US,1
100126,11 FB,23,android,female,MX,0
100127,00 Organic,32,android,female,US,0
100128,31 OUTBRAIN,54,ios,female,US,0
100129,00 Organic,52,ios,female,US,1
100130,42 Adcolony,25,android,male,US,0
100131,00 Organic,49,ios,male,US,1
100132,00 Organic,17,ios,female,US,0
100133,00 Organic,22,ios,female,US,0
100134,12 PINTEREST,53,android,male,US,0
100135,22 Adwords (Search),31,android,female,US,0
100136,11 FB,41,android,female,US,0
100137,31 OUTBRAIN,27,ios,female,AU,1
100138,00 Organic,23,android,male,GB,0
100139,11 FB,17,android,female,US,0
100140,00 Organic,33,ios,female,FR,0
100141,31 OUTBRAIN,51,ios,female,GB,0
100142,11 FB,24,android,male,US,0
100143,41 Youtube,13,android,female,ES,0
100144,12 PINTEREST,22,ios,female,US,0
100145,12 PINTEREST,26,ios,male,US,1
100146,22 Adwords (Search),12,ios,female,GB,1
100147,12 PINTEREST,42,ios,female,US,1
100148,12 PINTEREST,37,android,female,US,0
100149,00 Organic,21,ios,female,US,0
100150,61 Web/Content,25,android,female,AU,1
100151,12 PINTEREST,25,android,female,CA,0
100152,41 Youtube,43,android,male,MX,0
100153,11 FB,28,ios,female,US,0
100154,12 PINTEREST,28,android,female,US,0
100155,22 Adwords (Search),20,android,male,ES,0
100156,95 LAT,43,ios,female,US,1
100157,00 Organic,33,ios,female,US,0
100158,00 Organic,33,ios,male,US,0
100159,21 ASA,21,ios,female,GB,0
100160,12 PINTEREST,39,ios,male,CA,0
100161,22 Adwords (Search),19,android,male,AU,0
100162,22 Adwords (Search),24,android,female,MX,0
100163,11 FB,21,android,male,US,1
100164,42 Adcolony,33,android,female,US,1
100165,32 Taboola,50,ios,female,GB,1
